,from,to
8972,Unnamed StreamRiver 27173,Black River
8973,Unnamed StreamRiver 27174,Black River
8974,Unnamed StreamRiver 27202,Black River
8975,Mills Creek,Black River
8976,Unnamed StreamRiver 27203,Black River
8977,Black Creek,Black River
8978,Unnamed StreamRiver 27205,Unnamed StreamRiver 27204
8979,Unnamed StreamRiver 27208,Unnamed StreamRiver 27204
8980,Unnamed StreamRiver 27245,Unnamed StreamRiver 27210
8981,Unnamed StreamRiver 27216,Unnamed StreamRiver 27212
8982,Unnamed StreamRiver 27218,Unnamed StreamRiver 27212
8983,Unnamed StreamRiver 27221,Unnamed StreamRiver 27212
8984,Unnamed StreamRiver 27223,Unnamed StreamRiver 27212
8985,Unnamed StreamRiver 27224,Unnamed StreamRiver 27212
8986,Unnamed StreamRiver 27226,Jackson Creek
8987,Unnamed StreamRiver 27239,Jackson Creek
8988,Unnamed StreamRiver 27242,Jackson Creek
8989,Unnamed StreamRiver 27235,Unnamed StreamRiver 27234
8990,Unnamed StreamRiver 27237,Unnamed StreamRiver 27234
8991,Unnamed StreamRiver 27247,Black River
8992,Unnamed StreamRiver 27248,Black River
8993,Unnamed StreamRiver 27267,Black River
8994,Unnamed StreamRiver 27268,Black River
8995,Unnamed StreamRiver 27272,Black River
8996,Unnamed ArtificialPath 7858,Black River
8997,Unnamed StreamRiver 27274,Black River
8998,Unnamed StreamRiver 27275,Black River
8999,Unnamed StreamRiver 27276,Black River
9000,Unnamed StreamRiver 27277,Black River
9001,Unnamed StreamRiver 27278,Black River
9002,Unnamed StreamRiver 27279,Black River
9003,Unnamed CanalDitch 2502,Black River
9004,Quakenbush Drain,Pine River
9005,Angel Creek,Pine River
9006,Hyde Drain,Pine River
9007,Unnamed StreamRiver 26530,Emmett Drain
9008,O'Loughlin Drain,Pine River
9009,Rattle Run,Pine River
9010,Mackley Drain,Sheldon Drain
9011,Unnamed StreamRiver 26557,Dawson Drain
9012,Smiths Creek,Pine River
9013,Unnamed StreamRiver 26550,Unnamed StreamRiver 26548
9014,Unnamed StreamRiver 26551,Wonderlic Drain
9015,Wolvin Drain,Pine River
9016,Unnamed StreamRiver 26547,Nelson Drain
9017,Jordan Creek,Pine River
9018,Bowman Drain,Pine River
9019,Brandywine Creek,Pine River
9020,Unnamed StreamRiver 26508,Pine River
9021,Moak Drain,Pine River
9022,Unnamed StreamRiver 26510,Pine River
9023,Unnamed StreamRiver 26511,Pine River
9024,Big Creek,Pine River
9025,Unnamed StreamRiver 26518,Unnamed StreamRiver 26517
9026,Scheffle Drain,Pine River
9027,Unnamed StreamRiver 26520,Morris Drain
9028,Unnamed StreamRiver 26521,Pine River
9029,Unnamed StreamRiver 26522,Pine River
9030,Unnamed StreamRiver 26527,Pine River
9031,Unnamed StreamRiver 26528,Pine River
9032,Unnamed StreamRiver 26529,Pine River
9033,Unnamed StreamRiver 26531,Pine River
9034,South Branch Pine River,Pine River
9035,Unnamed StreamRiver 26536,Unnamed StreamRiver 26535
9036,Apply Drain,Moore Creek
9037,Campbell Drain,Moore Creek
9038,Unnamed StreamRiver 26541,Moore Creek
9039,Unnamed StreamRiver 26545,Pine River
9040,Unnamed StreamRiver 26546,Pine River
9041,Holland Drain,Pine River
9042,Unnamed StreamRiver 26560,Pine River
9043,Unnamed StreamRiver 26562,Pine River
9044,Unnamed StreamRiver 26563,Pine River
9045,Unnamed StreamRiver 26564,Pine River
9046,Unnamed StreamRiver 26565,Pine River
9047,Unnamed StreamRiver 26358,Belle River
9048,Tallmadge Drain,Loomis Drain
9049,Harris Drain,Belle River
9050,Jerome Creek,Belle River
9051,Unnamed StreamRiver 26400,Belle River
9052,Unnamed StreamRiver 26402,Belle River
9053,Unnamed StreamRiver 26403,Belle River
9054,Unnamed StreamRiver 26404,Belle River
9055,Unnamed StreamRiver 26405,Belle River
9056,Unnamed StreamRiver 26406,Belle River
9057,Unnamed StreamRiver 26407,Belle River
9058,Unnamed StreamRiver 26408,Belle River
9059,Unnamed StreamRiver 26409,Belle River
9060,Unnamed StreamRiver 26410,Belle River
9061,Unnamed StreamRiver 26411,Belle River
9062,Unnamed StreamRiver 26428,Unnamed StreamRiver 26424
9063,Unnamed StreamRiver 26430,Belle River
9064,Unnamed StreamRiver 26431,Belle River
9065,Unnamed StreamRiver 26432,Belle River
9066,Unnamed StreamRiver 26433,Belle River
9067,Unnamed StreamRiver 26435,Belle River
9068,Unnamed StreamRiver 26440,Belle River
9069,Unnamed StreamRiver 26441,Unnamed CanalDitch 2504
9070,Unnamed StreamRiver 26449,Belle River
9071,Unnamed CanalDitch 2501,Belle River
9072,Unnamed StreamRiver 26455,Belle River
9073,Unnamed StreamRiver 26464,Belle River
9074,Unnamed StreamRiver 26469,Belle River
9075,Unnamed StreamRiver 26470,Belle River
9076,Unnamed StreamRiver 26473,Belle River
9077,Unnamed StreamRiver 26476,Belle River
9078,Unnamed StreamRiver 26477,Belle River
9079,Unnamed StreamRiver 26478,Belle River
9080,Unnamed StreamRiver 26479,Belle River
9081,Unnamed StreamRiver 26480,Belle River
9082,Unnamed StreamRiver 26481,Belle River
9083,Unnamed StreamRiver 26486,Belle River
9084,Unnamed StreamRiver 26487,Belle River
9085,Ashery Creek,Belle River
9086,Jeffrey Drain,Beaver Creek
9087,Unnamed StreamRiver 26491,Belle River
9088,Unnamed StreamRiver 26492,Belle River
9089,Unnamed StreamRiver 26496,Belle River
9090,Eschenburg Drain,Belle River
9091,Unnamed StreamRiver 26497,Belle River
9092,Unnamed StreamRiver 26500,Belle River
9093,Schneider China Drain,Belle River
9094,Unnamed StreamRiver 26501,Belle River
9095,Baird Drain,Belle River
9096,Unnamed StreamRiver 26505,Unnamed StreamRiver 26503
9097,Unnamed StreamRiver 26506,Belle River
9098,Unnamed StreamRiver 27327,Belle River
9099,Unnamed ArtificialPath 7861,Belle River
9100,Unnamed StreamRiver 26360,Unnamed ArtificialPath 7831
9101,Unnamed StreamRiver 27641,Marine City Drain
9102,Unnamed StreamRiver 27642,Marine City Drain
9103,Unnamed StreamRiver 26395,Marine City Drain
9104,Unnamed StreamRiver 27644,Marine City Drain
9105,Unnamed StreamRiver 27645,Marine City Drain
9106,Unnamed StreamRiver 27646,Marine City Drain
9107,Unnamed StreamRiver 26399,Unnamed ArtificialPath 7832
9108,Unnamed StreamRiver 26573,Bunce Creek
9109,Unnamed StreamRiver 26574,Bunce Creek
9110,Unnamed StreamRiver 26577,Bunce Creek
9111,Unnamed StreamRiver 27412,Unnamed ArtificialPath 7875
9112,Unnamed StreamRiver 27445,Unnamed ArtificialPath 7891
9113,Unnamed StreamRiver 27455,Unnamed ArtificialPath 7891
9114,Unnamed StreamRiver 27580,Unnamed ArtificialPath 7933
9115,Unnamed ArtificialPath 7974,Unnamed ArtificialPath 7980
9116,Unnamed ArtificialPath 7975,Unnamed ArtificialPath 7980
9117,Unnamed ArtificialPath 7979,Unnamed ArtificialPath 7980
9118,Unnamed ArtificialPath 8034,Unnamed ArtificialPath 7980
9119,Unnamed ArtificialPath 8035,Unnamed ArtificialPath 7980
9120,Unnamed ArtificialPath 8036,Unnamed ArtificialPath 7980
9121,Unnamed ArtificialPath 8039,Unnamed ArtificialPath 7980
9122,Unnamed ArtificialPath 8040,Unnamed ArtificialPath 7980
9123,Unnamed ArtificialPath 8041,Unnamed ArtificialPath 7980
9124,Unnamed ArtificialPath 8042,Unnamed ArtificialPath 7980
9125,Unnamed ArtificialPath 7968,Unnamed ArtificialPath 8062
9126,Unnamed StreamRiver 27543,Unnamed StreamRiver 27542
9127,Unnamed StreamRiver 27545,Unnamed StreamRiver 27555
9128,Unnamed StreamRiver 27548,Unnamed StreamRiver 27555
9129,Unnamed StreamRiver 27562,Unnamed StreamRiver 27559
9130,Unnamed StreamRiver 27524,Unnamed ArtificialPath 7985
9131,Unnamed StreamRiver 27525,Unnamed ArtificialPath 7985
9132,Unnamed StreamRiver 27527,Unnamed ArtificialPath 7985
9133,Unnamed StreamRiver 27529,Unnamed ArtificialPath 7987
9134,Unnamed StreamRiver 27530,Unnamed ArtificialPath 7987
9135,Unnamed StreamRiver 27531,Unnamed ArtificialPath 7987
9136,Unnamed StreamRiver 27537,Unnamed ArtificialPath 7987
9137,Meldrum Drain,Unnamed ArtificialPath 7987
9138,Unnamed StreamRiver 27515,Unnamed ArtificialPath 7991
9139,Unnamed StreamRiver 27518,Unnamed ArtificialPath 7991
9140,Unnamed ArtificialPath 8007,Unnamed ArtificialPath 7991
9141,Unnamed ArtificialPath 8049,Unnamed ArtificialPath 7991
9142,Unnamed StreamRiver 27522,Unnamed ArtificialPath 8005
9143,Unnamed StreamRiver 27506,Unnamed ArtificialPath 7996
9144,Unnamed ArtificialPath 7992,Unnamed ArtificialPath 7996
9145,Unnamed StreamRiver 27493,Unnamed ArtificialPath 8001
9146,Unnamed StreamRiver 27494,Unnamed ArtificialPath 8001
9147,Unnamed StreamRiver 27495,Unnamed ArtificialPath 8001
9148,Unnamed StreamRiver 27500,Unnamed StreamRiver 27499
9149,Gibbons Drain,Unnamed ArtificialPath 8001
9150,Fistler Drain,Unnamed ArtificialPath 8001
9151,Shook Drain,Unnamed ArtificialPath 8001
9152,Fish Creek,Unnamed ArtificialPath 8001
9153,Unnamed ArtificialPath 7995,Unnamed ArtificialPath 8001
9154,Unnamed ArtificialPath 8000,Unnamed ArtificialPath 8001
9155,Unnamed StreamRiver 27485,Unnamed ArtificialPath 7999
9156,Unnamed StreamRiver 27478,Unnamed ArtificialPath 8010
9157,Unnamed StreamRiver 27482,Unnamed ArtificialPath 8010
9158,Unnamed ArtificialPath 8051,Unnamed ArtificialPath 8010
9159,Unnamed ArtificialPath 7865,Unnamed ArtificialPath 8076
9160,Unnamed ArtificialPath 7936,Unnamed ArtificialPath 8076
9161,Unnamed ArtificialPath 8093,Unnamed ArtificialPath 8076
9162,Unnamed ArtificialPath 7973,Unnamed ArtificialPath 8062
9163,Unnamed ArtificialPath 8046,Unnamed ArtificialPath 8062
9164,Unnamed ArtificialPath 8052,Unnamed ArtificialPath 8062
9165,Unnamed ArtificialPath 8054,Unnamed ArtificialPath 8062
9166,Unnamed ArtificialPath 8055,Unnamed ArtificialPath 8062
9167,Unnamed ArtificialPath 8069,Unnamed ArtificialPath 8062
9168,Unnamed StreamRiver 27453,Unnamed StreamRiver 27452
9169,Unnamed ArtificialPath 7915,Unnamed ArtificialPath 7906
9170,Unnamed ArtificialPath 8016,Unnamed ArtificialPath 8015
9171,Unnamed StreamRiver 27426,Unnamed ArtificialPath 8019
9172,Unnamed ArtificialPath 7946,Unnamed ArtificialPath 8019
9173,Unnamed StreamRiver 27436,Unnamed ArtificialPath 8021
9174,Unnamed StreamRiver 27421,Unnamed ArtificialPath 8023
9175,Unnamed ArtificialPath 7919,Unnamed ArtificialPath 8023
9176,Unnamed ArtificialPath 8071,Unnamed ArtificialPath 8062
9177,Unnamed StreamRiver 27587,Unnamed ArtificialPath 8070
9178,Unnamed StreamRiver 27619,Unnamed ArtificialPath 8070
9179,Unnamed ArtificialPath 7983,Unnamed ArtificialPath 8070
9180,Unnamed ArtificialPath 8026,Unnamed ArtificialPath 8070
9181,North Branch Clinton River,Unnamed ArtificialPath 8062
9182,East Branch Coon Creek,Coon Creek
9183,Cemetery Creek,Highbank Creek
9184,Unnamed StreamRiver 27681,Highbank Creek
9185,Wheeler Drain,Highbank Creek
9186,Unnamed StreamRiver 27659,Coon Creek
9187,Armada And Ray Drain,Coon Creek
9188,Unnamed StreamRiver 27690,Coon Creek
9189,Tupper Brook,Coon Creek
9190,Unnamed StreamRiver 27691,Priest Drain
9191,Unnamed StreamRiver 27680,Hart Drain
9192,Unnamed StreamRiver 27716,McBride Drain
9193,Thoel Drain,McBride Drain
9194,Hammon Drain,McBride Drain
9195,Unnamed StreamRiver 27658,Unnamed StreamRiver 27651
9196,Heide Drain,Price Brook
9197,Unnamed StreamRiver 27720,Price Brook
9198,Miller Drain,Unnamed StreamRiver 27651
9199,Heydenreich Drain,Unnamed StreamRiver 27651
9200,Pingle Drain,Unnamed StreamRiver 27651
9201,Unnamed StreamRiver 27731,Unnamed StreamRiver 27651
9202,Unnamed CanalDitch 2513,Unnamed StreamRiver 27651
9203,Unnamed StreamRiver 27736,Unnamed StreamRiver 27651
9204,Lawson Drain,Unnamed StreamRiver 27651
9205,Unnamed StreamRiver 27738,Unnamed StreamRiver 27651
9206,Preston Drain,Unnamed StreamRiver 27651
9207,Unnamed StreamRiver 27739,Unnamed StreamRiver 27651
9208,Unnamed StreamRiver 27741,Unnamed StreamRiver 27651
9209,Unnamed StreamRiver 27742,Unnamed StreamRiver 27651
9210,Longstaff Drain Number Two,Unnamed StreamRiver 27746
9211,Unnamed StreamRiver 27753,Unnamed StreamRiver 27747
9212,Unnamed StreamRiver 27754,Unnamed StreamRiver 27747
9213,Unnamed StreamRiver 27756,Unnamed StreamRiver 27747
9214,Shoemaker Drain,Unnamed StreamRiver 27747
9215,Unnamed StreamRiver 27758,Unnamed StreamRiver 27747
9216,Kenner Drain,Unnamed StreamRiver 27760
9217,Unnamed ArtificialPath 8152,Unnamed StreamRiver 27760
9218,Unnamed StreamRiver 27692,Newland Drain
9219,Unnamed StreamRiver 27693,Newland Drain
9220,Smith Drain,Deer Creek
9221,Harrison Drain,Deer Creek
9222,Unnamed StreamRiver 27695,Unnamed StreamRiver 27694
9223,Unnamed StreamRiver 27710,Mahaffy Drain
9224,Unnamed StreamRiver 27711,Mahaffy Drain
9225,Unnamed StreamRiver 27713,East Pond Creek
9226,Unnamed ArtificialPath 8151,East Pond Creek
9227,Unnamed StreamRiver 27715,Camp Brook Drain
9228,Unnamed StreamRiver 27708,Apel Drain
9229,Stony Creek,Unnamed ArtificialPath 8062
9230,Unnamed StreamRiver 27766,Unnamed ArtificialPath 8147
9231,Unnamed ArtificialPath 8143,Unnamed ArtificialPath 8147
9232,Unnamed ArtificialPath 8145,Unnamed ArtificialPath 8147
9233,Paint Creek,Unnamed ArtificialPath 8062
9234,Unnamed StreamRiver 27808,Sargent Creek
9235,Unnamed StreamRiver 27801,Trout Creek
9236,Unnamed StreamRiver 27802,Trout Creek
9237,Unnamed ArtificialPath 8148,Trout Creek
9238,Unnamed StreamRiver 27790,Unnamed ArtificialPath 8156
9239,Red Run,Unnamed ArtificialPath 8062
9240,Unnamed StreamRiver 27897,Unnamed StreamRiver 27648
9241,Gamble Drain,Big Beaver Creek
9242,Unnamed StreamRiver 27895,Big Beaver Creek
9243,Sturgis Drain,Big Beaver Creek
9244,Spencer Drain,Big Beaver Creek
9245,Shanahan Drain,Big Beaver Creek
9246,Unnamed StreamRiver 27887,Plum Brook
9247,Unnamed StreamRiver 27888,Plum Brook
9248,Gibson Drain,Plum Brook
9249,Moore Drain,Plum Brook
9250,Harrington Drain,Unnamed ArtificialPath 8062
9251,Unnamed ArtificialPath 8097,Unnamed ArtificialPath 8062
9252,Unnamed StreamRiver 27764,Unnamed ArtificialPath 8062
9253,Kukuk Drain,Unnamed ArtificialPath 8062
9254,Cranberry Marsh Drain,Unnamed ArtificialPath 8062
9255,Unnamed StreamRiver 27809,Unnamed ArtificialPath 8062
9256,Unnamed StreamRiver 27810,Unnamed ArtificialPath 8062
9257,Galloway Creek,Unnamed ArtificialPath 8062
9258,Pontiac Creek,Unnamed ArtificialPath 8062
9259,Unnamed StreamRiver 27833,Unnamed ArtificialPath 8062
9260,Unnamed StreamRiver 27834,Unnamed ArtificialPath 8062
9261,Unnamed StreamRiver 27842,Unnamed ArtificialPath 8062
9262,Unnamed StreamRiver 27843,Unnamed ArtificialPath 8062
9263,Unnamed ArtificialPath 8133,Unnamed ArtificialPath 8062
9264,Unnamed StreamRiver 27851,Unnamed ArtificialPath 8062
9265,Unnamed StreamRiver 27855,Unnamed ArtificialPath 8062
9266,Unnamed StreamRiver 27874,Unnamed ArtificialPath 8062
9267,Unnamed StreamRiver 27875,Unnamed ArtificialPath 8062
9268,Unnamed StreamRiver 27878,Unnamed ArtificialPath 8062
9269,Unnamed StreamRiver 27884,Unnamed ArtificialPath 8062
9270,Faulman Drain,Unnamed ArtificialPath 8062
9271,Unnamed ArtificialPath 8164,Unnamed ArtificialPath 8062
9272,Unnamed ArtificialPath 8166,Unnamed ArtificialPath 8062
9273,Unnamed ArtificialPath 8167,Unnamed ArtificialPath 8062
9274,Unnamed ArtificialPath 8168,Unnamed ArtificialPath 8062
9275,Unnamed ArtificialPath 8169,Unnamed ArtificialPath 8062
9276,Unnamed ArtificialPath 8170,Unnamed ArtificialPath 8062
9277,Unnamed StreamRiver 27825,Unnamed ArtificialPath 8171
9278,Unnamed ArtificialPath 8178,Unnamed ArtificialPath 8062
9279,Unnamed ArtificialPath 8179,Unnamed ArtificialPath 8062
9280,Unnamed ArtificialPath 8180,Unnamed ArtificialPath 8062
9281,Unnamed ArtificialPath 8181,Unnamed ArtificialPath 8062
9282,Unnamed ArtificialPath 8190,Unnamed ArtificialPath 8062
9283,Unnamed ArtificialPath 8191,Unnamed ArtificialPath 8062
9284,Unnamed ArtificialPath 8192,Unnamed ArtificialPath 8062
9285,Unnamed StreamRiver 27872,Unnamed StreamRiver 27870
9286,Unnamed ArtificialPath 8193,Unnamed ArtificialPath 8062
9287,Unnamed ArtificialPath 8194,Unnamed ArtificialPath 8062
9288,Unnamed ArtificialPath 8195,Unnamed ArtificialPath 8062
9289,Lower River Rouge,Unnamed ArtificialPath 8212
9290,Leng Drain,Hunter Drain
9291,Unnamed StreamRiver 28068,Fellows Creek
9292,North Branch Fellows Creek,Fellows Creek
9293,Unnamed StreamRiver 28070,Fellows Creek
9294,Ingall Drain,Fellows Creek
9295,Unnamed StreamRiver 28071,Fellows Creek
9296,South Branch Fellows Creek,Fellows Creek
9297,Green Drain,Fellows Creek
9298,Truesdell Drain,Fellows Creek
9299,Unnamed StreamRiver 28073,Fellows Creek
9300,Bazley and Foster Drain,Unnamed StreamRiver 28076
9301,Goodell Drain,Unnamed StreamRiver 28076
9302,Unnamed StreamRiver 28081,Unnamed StreamRiver 28076
9303,Unnamed StreamRiver 28082,Unnamed StreamRiver 28076
9304,Unnamed StreamRiver 28084,Unnamed StreamRiver 28076
9305,Unnamed StreamRiver 28089,Unnamed StreamRiver 28076
9306,Unnamed StreamRiver 28090,Sines Drain
9307,Unnamed StreamRiver 28094,McKinstry Drain
9308,Bingell Drain,Bell Drain
9309,Wilbur Drain,Bell Drain
9310,Unnamed StreamRiver 28098,Unnamed StreamRiver 28097
9311,Strong Drain,Unnamed StreamRiver 28097
9312,Pebble Creek,Unnamed ArtificialPath 8212
9313,Unnamed StreamRiver 27980,Unnamed StreamRiver 27979
9314,Upper River Rouge,Unnamed ArtificialPath 8212
9315,Unnamed StreamRiver 27907,Bell Branch
9316,Unnamed StreamRiver 28005,Bell Branch
9317,Unnamed StreamRiver 28011,Bell Branch
9318,Unnamed StreamRiver 28012,Bell Branch
9319,Unnamed StreamRiver 28013,Bell Branch
9320,Unnamed StreamRiver 28021,Unnamed StreamRiver 28018
9321,Unnamed StreamRiver 28022,Bell Branch
9322,Unnamed StreamRiver 28023,Bell Branch
9323,Unnamed StreamRiver 28024,Bell Branch
9324,Unnamed StreamRiver 28025,Bell Branch
9325,Wolfrom Drain,Bell Branch
9326,Unnamed StreamRiver 28003,Seeley Drain
9327,Unnamed StreamRiver 28004,Seeley Drain
9328,Middle River Rouge,Unnamed ArtificialPath 8212
9329,Unnamed StreamRiver 27914,Walled Lake Branch
9330,Unnamed StreamRiver 28027,Walled Lake Branch
9331,Unnamed StreamRiver 28028,Walled Lake Branch
9332,Thornton Creek,Walled Lake Branch
9333,Unnamed StreamRiver 28033,Walled Lake Branch
9334,Unnamed StreamRiver 28108,Walled Lake Branch
9335,Unnamed StreamRiver 28117,Walled Lake Branch
9336,Unnamed ArtificialPath 8274,Walled Lake Branch
9337,Unnamed StreamRiver 28030,Unnamed StreamRiver 28029
9338,Unnamed StreamRiver 28035,Sump Drain
9339,Unnamed StreamRiver 28042,Unnamed StreamRiver 28041
9340,Unnamed StreamRiver 28046,Unnamed StreamRiver 28041
9341,Unnamed StreamRiver 28047,Unnamed StreamRiver 28041
9342,Unnamed StreamRiver 28051,Unnamed StreamRiver 28049
9343,Deer Drain,Unnamed StreamRiver 28052
9344,Unnamed StreamRiver 28057,Unnamed StreamRiver 28052
9345,Unnamed StreamRiver 28059,Unnamed StreamRiver 28052
9346,Unnamed StreamRiver 28063,Unnamed StreamRiver 28052
9347,Unnamed StreamRiver 28064,Unnamed StreamRiver 28052
9348,Unnamed StreamRiver 28065,Unnamed StreamRiver 28052
9349,Willow Creek,Unnamed StreamRiver 28052
9350,Morgan Drain,Unnamed StreamRiver 28052
9351,Unnamed StreamRiver 27952,Unnamed ArtificialPath 8212
9352,Unnamed StreamRiver 27960,Unnamed ArtificialPath 8212
9353,Sunken Bridge Drain,Unnamed ArtificialPath 8212
9354,Unnamed StreamRiver 27963,Unnamed StreamRiver 27961
9355,Unnamed StreamRiver 27967,Unnamed ArtificialPath 8212
9356,Unnamed StreamRiver 27968,Unnamed ArtificialPath 8212
9357,Franklin Branch,Unnamed ArtificialPath 8212
9358,Unnamed StreamRiver 27976,Unnamed StreamRiver 27970
9359,Unnamed ArtificialPath 8275,Unnamed StreamRiver 27970
9360,Unnamed StreamRiver 27985,Unnamed ArtificialPath 8212
9361,Unnamed StreamRiver 27987,Unnamed StreamRiver 27986
9362,Unnamed StreamRiver 27995,Unnamed StreamRiver 27993
9363,Ashcroft-Sherwood Drain,Unnamed ArtificialPath 8212
9364,Unnamed ArtificialPath 8231,Unnamed ArtificialPath 8212
9365,Unnamed ArtificialPath 8253,Unnamed ArtificialPath 8212
9366,Black Creek,Ecorse River
9367,Freeman Drain,Ecorse River
9368,Unnamed StreamRiver 27950,Ecorse River
9369,Unnamed StreamRiver 27951,Ecorse River
9370,Douglas and Kelly Drain,Ecorse River
9371,South Branch Ecorse River,Ecorse River
9372,Sloss and Ganong Drain,Sexton And Kilfoil Drain
9373,Unnamed StreamRiver 28105,Unnamed ArtificialPath 8235
9374,Unnamed ArtificialPath 8244,Unnamed ArtificialPath 8246
9375,Unnamed StreamRiver 27946,Frenchman Creek
9376,Unnamed ArtificialPath 8258,Unnamed ArtificialPath 8256
9377,Unnamed StreamRiver 28287,Unnamed StreamRiver 28148
9378,North Fork Mill Creek,Mill Creek
9379,Unnamed StreamRiver 28220,Letts Creek
9380,Unnamed StreamRiver 28221,Letts Creek
9381,Unnamed StreamRiver 28223,Letts Creek
9382,Unnamed StreamRiver 28225,Unnamed StreamRiver 28224
9383,Unnamed StreamRiver 28229,Mill Creek
9384,Unnamed StreamRiver 28233,Mill Creek
9385,Unnamed StreamRiver 28234,Mill Creek
9386,Unnamed StreamRiver 28242,Mill Creek
9387,Unnamed StreamRiver 28245,Mill Creek
9388,Unnamed StreamRiver 28255,Mill Creek
9389,Unnamed Connector 591,Mill Creek
9390,Unnamed ArtificialPath 8428,Mill Creek
9391,Unnamed StreamRiver 28151,Fleming Creek
9392,Unnamed StreamRiver 28468,Fleming Creek
9393,Wagner Drain,Fleming Creek
9394,Unnamed StreamRiver 28469,Fleming Creek
9395,Unnamed StreamRiver 28470,Fleming Creek
9396,Unnamed StreamRiver 28473,Fleming Creek
9397,Unnamed StreamRiver 28481,Fleming Creek
9398,Unnamed StreamRiver 28482,Fleming Creek
9399,Unnamed StreamRiver 28373,Norton Creek
9400,Unnamed StreamRiver 28374,Norton Creek
9401,Unnamed StreamRiver 28388,Unnamed ArtificialPath 8482
9402,Unnamed StreamRiver 28389,Unnamed ArtificialPath 8482
9403,Unnamed StreamRiver 28543,Unnamed ArtificialPath 8482
9404,Unnamed ArtificialPath 8479,Unnamed ArtificialPath 8482
9405,Unnamed StreamRiver 28202,Unnamed ArtificialPath 8281
9406,Swift Drain,Unnamed ArtificialPath 8281
9407,Unnamed StreamRiver 28196,Unnamed StreamRiver 28194
9408,Unnamed StreamRiver 28197,Unnamed StreamRiver 28194
9409,Unnamed ArtificialPath 8434,Unnamed StreamRiver 28194
9410,Unnamed StreamRiver 28198,Hale Drain
9411,Unnamed StreamRiver 28265,Unnamed ArtificialPath 8299
9412,Unnamed StreamRiver 28311,Unnamed StreamRiver 28307
9413,Unnamed ArtificialPath 8451,Unnamed StreamRiver 28307
9414,Unnamed StreamRiver 28335,Unnamed StreamRiver 28329
9415,Unnamed StreamRiver 28358,Unnamed StreamRiver 28329
9416,Unnamed StreamRiver 28359,Unnamed StreamRiver 28329
9417,Unnamed ArtificialPath 8452,Unnamed StreamRiver 28329
9418,Unnamed StreamRiver 28347,Unnamed StreamRiver 28341
9419,Unnamed ArtificialPath 8414,Unnamed StreamRiver 28341
9420,Unnamed ArtificialPath 8469,Unnamed StreamRiver 28341
9421,Unnamed ArtificialPath 8455,Unnamed StreamRiver 28329
9422,Unnamed ArtificialPath 8461,Unnamed StreamRiver 28329
9423,Unnamed ArtificialPath 8470,Unnamed StreamRiver 28329
9424,Unnamed StreamRiver 28405,Hayes Creek
9425,Unnamed StreamRiver 28545,Hayes Creek
9426,Unnamed ArtificialPath 8502,Unnamed StreamRiver 28419
9427,Unnamed ArtificialPath 8504,Unnamed StreamRiver 28419
9428,Unnamed ArtificialPath 8506,Unnamed StreamRiver 28426
9429,Unnamed StreamRiver 28434,Woodruff Creek
9430,Mann Creek,Woodruff Creek
9431,Unnamed StreamRiver 28440,Woodruff Creek
9432,Unnamed StreamRiver 28457,Unnamed ArtificialPath 8384
9433,Unnamed StreamRiver 28459,Unnamed ArtificialPath 8384
9434,Unnamed StreamRiver 28465,Unnamed ArtificialPath 8387
9435,Head Drain,Griggs Drain
9436,Unnamed StreamRiver 28485,Griggs Drain
9437,Hubbard Drain,Griggs Drain
9438,Unnamed StreamRiver 28486,Griggs Drain
9439,Unnamed StreamRiver 28488,Griggs Drain
9440,Unnamed StreamRiver 28489,Griggs Drain
9441,Carter Drain,Wagner and Pink Drain
9442,Van Hountin Drain,Port Creek
9443,Baker and Green Drain,Port Creek
9444,Unnamed StreamRiver 28493,Silver Creek
9445,Smith Creek,Silver Creek
9446,Unnamed StreamRiver 28501,Silver Creek
9447,Odette Drain,Silver Creek
9448,Hand Drain,Silver Creek
9449,Unnamed StreamRiver 28502,Silver Creek
9450,Adams Drain,Silver Creek
9451,Unnamed StreamRiver 28503,Silver Creek
9452,Unnamed ArtificialPath 8394,Silver Creek
9453,Hubert Drain,Silver Creek
9454,Unnamed ArtificialPath 8512,Silver Creek
9455,Unnamed StreamRiver 28273,Unnamed ArtificialPath 8398
9456,Unnamed StreamRiver 28274,Unnamed ArtificialPath 8398
9457,Unnamed ArtificialPath 8446,Unnamed StreamRiver 28276
9458,Unnamed ArtificialPath 8439,Unnamed ArtificialPath 8398
9459,Unnamed ArtificialPath 8441,Unnamed ArtificialPath 8398
9460,Unnamed ArtificialPath 8443,Unnamed ArtificialPath 8398
9461,Unnamed ArtificialPath 8519,Unnamed ArtificialPath 8398
9462,Unnamed StreamRiver 28284,Unnamed StreamRiver 28266
9463,Unnamed StreamRiver 28538,Unnamed Connector 594
9464,Unnamed ArtificialPath 8520,Unnamed ArtificialPath 8398
9465,Unnamed ArtificialPath 8285,Honey Creek
9466,Unnamed StreamRiver 28205,Honey Creek
9467,Unnamed StreamRiver 28206,Honey Creek
9468,Unnamed StreamRiver 28207,Honey Creek
9469,Unnamed StreamRiver 28208,Honey Creek
9470,Unnamed StreamRiver 28214,Honey Creek
9471,Unnamed StreamRiver 28547,Regan Drain
9472,Unnamed StreamRiver 28548,Regan Drain
9473,Unnamed StreamRiver 28508,Unnamed ArtificialPath 8416
9474,Unnamed StreamRiver 28293,Unnamed ArtificialPath 8418
