,from,to
205,Unnamed StreamRiver 1043,East Branch Fortythree Creek
206,Unnamed StreamRiver 1044,East Branch Beaver River
207,Unnamed StreamRiver 1045,East Branch Beaver River
208,Ekbeck Creek,East Branch Beaver River
209,Unnamed StreamRiver 1047,East Branch Beaver River
210,Unnamed StreamRiver 1048,East Branch Beaver River
211,Unnamed StreamRiver 1049,East Branch Beaver River
212,Unnamed StreamRiver 1055,Unnamed ArtificialPath 833
213,Unnamed StreamRiver 1061,Kit Creek
214,Unnamed StreamRiver 1065,West Branch Beaver River
215,Unnamed StreamRiver 1066,West Branch Beaver River
216,Unnamed StreamRiver 1003,Unnamed StreamRiver 832
217,Unnamed StreamRiver 991,Skunk Creek
218,Stony Creek,Skunk Creek
219,Unnamed StreamRiver 994,Skunk Creek
220,Mink Creek,Skunk Creek
221,Unnamed StreamRiver 996,Skunk Creek
222,Unnamed StreamRiver 999,Skunk Creek
223,Unnamed StreamRiver 1000,Skunk Creek
224,Unnamed StreamRiver 1072,Little Gooseberry River
225,Unnamed StreamRiver 955,Unnamed StreamRiver 951
226,Unnamed StreamRiver 957,Unnamed StreamRiver 959
227,Unnamed StreamRiver 940,Little Knife River
228,Unnamed StreamRiver 942,Little Knife River
229,Unnamed StreamRiver 943,Little Knife River
230,Unnamed StreamRiver 931,Stanley Creek
231,Unnamed StreamRiver 906,Little Knife River
232,Unnamed StreamRiver 914,McCarthy Creek
233,Unnamed StreamRiver 915,McCarthy Creek
234,Unnamed StreamRiver 846,Unnamed StreamRiver 918
235,Unnamed StreamRiver 919,Unnamed StreamRiver 918
236,Unnamed StreamRiver 926,Unnamed StreamRiver 918
237,Unnamed StreamRiver 928,Unnamed StreamRiver 918
238,Captain Jacobson Creek,Unnamed StreamRiver 918
239,Unnamed StreamRiver 934,Unnamed StreamRiver 933
240,Unnamed StreamRiver 939,Unnamed StreamRiver 933
241,Unnamed StreamRiver 898,Unnamed StreamRiver 897
242,Unnamed StreamRiver 889,Unnamed StreamRiver 886
243,Amity Creek,Unnamed StreamRiver 835
244,Unnamed StreamRiver 836,Unnamed StreamRiver 835
245,Unnamed StreamRiver 865,Unnamed StreamRiver 835
246,Unnamed StreamRiver 856,Unnamed StreamRiver 854
247,Unnamed StreamRiver 961,Unnamed StreamRiver 960
248,Unnamed StreamRiver 1073,Unnamed StreamRiver 1081
249,Unnamed ArtificialPath 823,Unnamed StreamRiver 965
250,Unnamed StreamRiver 969,Unnamed StreamRiver 965
251,Unnamed StreamRiver 972,Unnamed StreamRiver 970
252,Unnamed StreamRiver 973,Unnamed StreamRiver 970
253,Unnamed StreamRiver 1015,East Split Rock River
254,Unnamed StreamRiver 1016,East Split Rock River
255,Unnamed StreamRiver 1017,East Split Rock River
256,Unnamed StreamRiver 1021,Bud Creek
257,Unnamed StreamRiver 1025,Unnamed StreamRiver 1022
258,Dutch Slough,Pine River
259,Unnamed StreamRiver 1741,Pine River
260,Unnamed StreamRiver 1742,Pine River
261,Unnamed StreamRiver 1743,Pine River
262,Unnamed StreamRiver 1744,Pine River
263,Unnamed StreamRiver 1746,Pine River
264,Unnamed StreamRiver 1877,Pine River
265,Unnamed ArtificialPath 1102,Pine River
266,Unnamed StreamRiver 1083,Artichoke River
267,Unnamed StreamRiver 1737,Artichoke River
268,Unnamed StreamRiver 1738,Artichoke River
269,Unnamed StreamRiver 1739,Artichoke River
270,Unnamed StreamRiver 1740,Artichoke River
